canalx,canal,date,,hora_ini,hora_fin,fecha_init,fecha_fin
,CANAL N HD,2021-11-29, ,12:00:00,14:00:00,2021-11-29 12:00:00,2021-11-29 14:00:00
,CANAL N HD,2021-11-30, ,12:00:00,14:00:00,2021-11-30 12:00:00,2021-11-30 14:00:00
,CANAL N HD,2021-12-01, ,12:00:00,14:00:00,2021-12-01 12:00:00,2021-12-01 14:00:00
,CANAL N HD,2021-12-02, ,12:00:00,14:00:00,2021-12-02 12:00:00,2021-12-02 14:00:00
 12:30 a 15:00,PANAMERICANA TELEVISION HD,2021-11-26, ,12:30:00,15:00:00,2021-11-26 12:30:00,2021-11-26 15:00:00
,PANAMERICANA TELEVISION HD,2021-11-27, ,12:30:00,15:00:00,2021-11-27 12:30:00,2021-11-27 15:00:00
,PANAMERICANA TELEVISION HD,2021-11-28, ,12:30:00,15:00:00,2021-11-28 12:30:00,2021-11-28 15:00:00
,PANAMERICANA TELEVISION HD,2021-11-29, ,12:30:00,15:00:00,2021-11-29 12:30:00,2021-11-29 15:00:00
,PANAMERICANA TELEVISION HD,2021-11-30, ,12:30:00,15:00:00,2021-11-30 12:30:00,2021-11-30 15:00:00
,PANAMERICANA TELEVISION HD,2021-12-01, ,12:30:00,15:00:00,2021-12-01 12:30:00,2021-12-01 15:00:00
,PANAMERICANA TELEVISION HD,2021-12-02, ,12:30:00,15:00:00,2021-12-02 12:30:00,2021-12-02 15:00:00
13:00 a 15:00,RPP HD,2021-11-26, ,13:00:00,15:00:00,2021-11-26 13:00:00,2021-11-26 15:00:00
,RPP HD,2021-11-27, ,13:00:00,15:00:00,2021-11-27 13:00:00,2021-11-27 15:00:00
,RPP HD,2021-11-28, ,13:00:00,15:00:00,2021-11-28 13:00:00,2021-11-28 15:00:00
,RPP HD,2021-11-29, ,13:00:00,15:00:00,2021-11-29 13:00:00,2021-11-29 15:00:00
,RPP HD,2021-11-30, ,13:00:00,15:00:00,2021-11-30 13:00:00,2021-11-30 15:00:00
,RPP HD,2021-12-01, ,13:00:00,15:00:00,2021-12-01 13:00:00,2021-12-01 15:00:00
,RPP HD,2021-12-02, ,13:00:00,15:00:00,2021-12-02 13:00:00,2021-12-02 15:00:00
13:00 a 15:00,CANAL N HD,2021-11-26, ,13:00:00,15:00:00,2021-11-26 13:00:00,2021-11-26 15:00:00
,CANAL N HD,2021-11-27, ,13:00:00,15:00:00,2021-11-27 13:00:00,2021-11-27 15:00:00
,CANAL N HD,2021-11-28, ,13:00:00,15:00:00,2021-11-28 13:00:00,2021-11-28 15:00:00
,CANAL N HD,2021-11-29, ,13:00:00,15:00:00,2021-11-29 13:00:00,2021-11-29 15:00:00
,CANAL N HD,2021-11-30, ,13:00:00,15:00:00,2021-11-30 13:00:00,2021-11-30 15:00:00
,CANAL N HD,2021-12-01, ,13:00:00,15:00:00,2021-12-01 13:00:00,2021-12-01 15:00:00
,CANAL N HD,2021-12-02, ,13:00:00,15:00:00,2021-12-02 13:00:00,2021-12-02 15:00:00
13:30 a 15:00,AMERICA TELEVISION HD,2021-11-26, ,13:30:00,15:00:00,2021-11-26 13:30:00,2021-11-26 15:00:00
,AMERICA TELEVISION HD,2021-11-27, ,13:30:00,15:00:00,2021-11-27 13:30:00,2021-11-27 15:00:00
,AMERICA TELEVISION HD,2021-11-28, ,13:30:00,15:00:00,2021-11-28 13:30:00,2021-11-28 15:00:00
,AMERICA TELEVISION HD,2021-11-29, ,13:30:00,15:00:00,2021-11-29 13:30:00,2021-11-29 15:00:00
,AMERICA TELEVISION HD,2021-11-30, ,13:30:00,15:00:00,2021-11-30 13:30:00,2021-11-30 15:00:00
,AMERICA TELEVISION HD,2021-12-01, ,13:30:00,15:00:00,2021-12-01 13:30:00,2021-12-01 15:00:00
,AMERICA TELEVISION HD,2021-12-02, ,13:30:00,15:00:00,2021-12-02 13:30:00,2021-12-02 15:00:00
14:00 a 15:00,WILLAX,2021-11-26, ,14:00:00,15:00:00,2021-11-26 14:00:00,2021-11-26 15:00:00
